DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,CITIZENSHIP,TYPE_OF_COUPLE,HOUSEHOLD_TYPOLOGY,PRESENCE_IN_ITALY,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS,LANGUAGE,SATISFACTION_LIFE_WORK,DISCRIMINATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_TYPE_OF_COUPLE,NOTE_HOUSEHOLD_TYPOLOGY,NOTE_PRESENCE_IN_ITALY,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS,NOTE_LANGUAGE,NOTE_SATISFACTION_LIFE_WORK,NOTE_DISCRIMINATION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,ITC,NFOR,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN2,99,ALL,ALL,ALL,ALL,2012,109919,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN2_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,ITC,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,1427974,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,ITC,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN1,99,ALL,ALL,ALL,ALL,2012,928523,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN1_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,ITC,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN1_25,99,ALL,ALL,ALL,ALL,2012,98867,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,ITC,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN1_50,99,ALL,ALL,ALL,ALL,2012,80385,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,ITC,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN1_75,99,ALL,ALL,ALL,ALL,2012,89355,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,ITC,NFOR,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN2,99,ALL,ALL,ALL,ALL,2012,230843,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN2_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,ITC,NFOR_PERCS,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,47.7,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,ITC,NFOR_PERCS,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN1,99,ALL,ALL,ALL,ALL,2012,44.3,,,,,,,,,TIP_FAM__IT_HH_N1,PRES_LUOGO__GEN1_N1,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_3(1.0),A,ITC,NFOR_PERCS,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,GEN1_25,99,ALL,ALL,ALL,ALL,2012,56.3,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
