"ITTER107","Territory","TIPO_DATO15","Data type","SEXISTAT1","Gender","ISO","Most relevant Country of citizenship","MOTIVOPS1","Reason","TIME","Select time","Value","Flag Codes","Flags"
"ITC3","Liguria","INFLNONEU","annual inflows of non-EU citizens","1","males","PE","Peru","ALL1","international protection","2021","2021",25,,
"ITC3","Liguria","INFLNONEU","annual inflows of non-EU citizens","1","males","PE","Peru","ALL1","international protection","2022","2022",143,,
"ITC3","Liguria","INFLNONEU","annual inflows of non-EU citizens","1","males","PE","Peru","ALL1","international protection","2023","2023",203,,
"ITC34","La Spezia","INFLNONEU","annual inflows of non-EU citizens","1","males","UA","Ukraine","ALL1","international protection","2022","2022",212,,
"ITC34","La Spezia","INFLNONEU","annual inflows of non-EU citizens","1","males","UA","Ukraine","ALL1","international protection","2023","2023",51,,
"ITG17","Catania","INFLNONEU","annual inflows of non-EU citizens","1","males","BR","Brazil","ALL1","international protection","2020","2020",1,,
"ITG17","Catania","INFLNONEU","annual inflows of non-EU citizens","1","males","BR","Brazil","ALL1","international protection","2023","2023",2,,
"ITD37","Rovigo","INFLNONEU","annual inflows of non-EU citizens","2","females","PK","Pakistan","ALL1","international protection","2022","2022",1,,
"ITD43","Gorizia","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2019","2019",1,,
"ITD43","Gorizia","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2021","2021",1,,
"ITD43","Gorizia","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2022","2022",427,,
"ITD43","Gorizia","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2023","2023",25,,
"ITD42","Udine","INFLNONEU","annual inflows of non-EU citizens","1","males","UA","Ukraine","ALL1","international protection","2021","2021",1,,
"ITD42","Udine","INFLNONEU","annual inflows of non-EU citizens","1","males","UA","Ukraine","ALL1","international protection","2022","2022",804,,
"ITD42","Udine","INFLNONEU","annual inflows of non-EU citizens","1","males","UA","Ukraine","ALL1","international protection","2023","2023",94,,
"ITE31","Pesaro e Urbino","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2019","2019",1,,
"ITE31","Pesaro e Urbino","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2020","2020",1,,
"ITE31","Pesaro e Urbino","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2021","2021",3,,
"ITE31","Pesaro e Urbino","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2022","2022",23,,
"ITE31","Pesaro e Urbino","INFLNONEU","annual inflows of non-EU citizens","1","males","EG","Egypt","ALL1","international protection","2023","2023",58,,
"ITE1A","Grosseto","INFLNONEU","annual inflows of non-EU citizens","9","total","EG","Egypt","ALL1","international protection","2019","2019",2,,
"ITE1A","Grosseto","INFLNONEU","annual inflows of non-EU citizens","9","total","EG","Egypt","ALL1","international protection","2021","2021",5,,
"ITE1A","Grosseto","INFLNONEU","annual inflows of non-EU citizens","9","total","EG","Egypt","ALL1","international protection","2022","2022",7,,
"ITE1A","Grosseto","INFLNONEU","annual inflows of non-EU citizens","9","total","EG","Egypt","ALL1","international protection","2023","2023",27,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2019","2019",13,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2021","2021",1,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2022","2022",950,,
"ITC43","Lecco","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2023","2023",101,,
"ITE44","Latina","INFLNONEU","annual inflows of non-EU citizens","1","males","MA","Morocco","ALL1","international protection","2019","2019",7,,
"ITE44","Latina","INFLNONEU","annual inflows of non-EU citizens","1","males","MA","Morocco","ALL1","international protection","2021","2021",1,,
"ITE44","Latina","INFLNONEU","annual inflows of non-EU citizens","1","males","MA","Morocco","ALL1","international protection","2023","2023",12,,
"ITF32","Benevento","INFLNONEU","annual inflows of non-EU citizens","9","total","PK","Pakistan","ALL1","international protection","2019","2019",7,,
"ITF32","Benevento","INFLNONEU","annual inflows of non-EU citizens","9","total","PK","Pakistan","ALL1","international protection","2020","2020",15,,
"ITF32","Benevento","INFLNONEU","annual inflows of non-EU citizens","9","total","PK","Pakistan","ALL1","international protection","2021","2021",7,,
"ITF32","Benevento","INFLNONEU","annual inflows of non-EU citizens","9","total","PK","Pakistan","ALL1","international protection","2022","2022",9,,
"ITF32","Benevento","INFLNONEU","annual inflows of non-EU citizens","9","total","PK","Pakistan","ALL1","international protection","2023","2023",17,,
"ITE32","Ancona","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2019","2019",2,,
"ITE32","Ancona","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2020","2020",3,,
"ITE32","Ancona","INFLNONEU","annual inflows of non-EU citizens","9","total","UA","Ukraine","ALL1","international protection","2021","2021",10,,
