"ITTER107","Territory","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",214.45,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",208.616,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",196.216,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",219.167,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",199.374,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q1","Q1-2023",179.21,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q2","Q2-2023",196,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q3","Q3-2023",209.714,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q4","Q4-2023",203.283,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q1","Q1-2024",210.021,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q2","Q2-2024",216.03,,
"ITFG","Mezzogiorno","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q3","Q3-2024",213.166,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2019","2019",626.072,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q1","Q1-2019",627.493,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q2","Q2-2019",632.529,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q4","Q4-2019",632.389,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2019-Q3","Q3-2019",611.88,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2020","2020",593.27,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q2","Q2-2020",568.54,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q1","Q1-2020",616.852,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q3","Q3-2020",590.714,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2020-Q4","Q4-2020",596.974,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2021","2021",639.215,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2022","2022",664.109,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2023","2023",644.56,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q1","Q1-2021",603.73,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q2","Q2-2021",648.632,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q3","Q3-2021",648.69,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2021-Q4","Q4-2021",655.806,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q1","Q1-2022",644.249,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q2","Q2-2022",676.371,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q3","Q3-2022",678.97,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2022-Q4","Q4-2022",656.847,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q1","Q1-2023",613.142,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q2","Q2-2023",621.258,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q3","Q3-2023",672.992,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2023-Q4","Q4-2023",670.847,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q1","Q1-2024",660.574,,
"ITCD","Nord","Y15-89","15-89 years","99","total","FRG","foreign","2024-Q2","Q2-2024",692.096,,
