"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","CITTADINANZA","Citizenship","POSIZPROF","Professional status","CARATT_OCC","Temporary employees","TIME","Select time","Value","Flag Codes","Flags"
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2021-Q3","Q3-2021",429.75,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2021-Q4","Q4-2021",439.985,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2022-Q1","Q1-2022",405.432,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2022-Q2","Q2-2022",437.512,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2022-Q3","Q3-2022",448.537,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2022-Q4","Q4-2022",424.298,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2023-Q1","Q1-2023",414.868,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2023-Q2","Q2-2023",416.528,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2023-Q3","Q3-2023",413.317,,
"ITD","Nord-est","9","total","Y15-89","15-89 years","FRG","foreign","1","employees","2","permanent employees","2023-Q4","Q4-2023",439.283,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019","2019",291.942,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q1","Q1-2019",261.898,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q2","Q2-2019",294.747,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q4","Q4-2019",294.872,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q3","Q3-2019",316.252,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020","2020",264.506,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q2","Q2-2020",234.023,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q1","Q1-2020",287.925,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q3","Q3-2020",267.248,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q4","Q4-2020",268.827,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021","2021",261.724,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022","2022",280.177,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023","2023",285.255,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q1","Q1-2021",219.166,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q2","Q2-2021",241.842,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q3","Q3-2021",291.923,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q4","Q4-2021",293.966,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q1","Q1-2022",261.808,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q2","Q2-2022",281.211,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q3","Q3-2022",284.23,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q4","Q4-2022",293.46,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q1","Q1-2023",280.132,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q2","Q2-2023",276.258,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q3","Q3-2023",304.517,,
"IT","Italy","1","males","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q4","Q4-2023",280.114,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019","2019",102.164,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q1","Q1-2019",107.353,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q2","Q2-2019",91.693,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q4","Q4-2019",102.193,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2019-Q3","Q3-2019",107.416,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020","2020",78.954,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q2","Q2-2020",62.55,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q1","Q1-2020",97.516,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q3","Q3-2020",81.644,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2020-Q4","Q4-2020",74.106,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021","2021",96.326,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022","2022",115.36,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023","2023",101.911,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q1","Q1-2021",70.342,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q2","Q2-2021",103.947,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q3","Q3-2021",106.955,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2021-Q4","Q4-2021",104.062,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q1","Q1-2022",115.951,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q2","Q2-2022",118.714,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q3","Q3-2022",122.588,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2022-Q4","Q4-2022",104.189,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q1","Q1-2023",90.906,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q2","Q2-2023",96.217,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","1","employees","1","temporary employees","2023-Q3","Q3-2023",113.662,,
