"ITTER107","Territory","SEXISTAT1","Gender","ETA1","Age class","CITTADINANZA","Citizenship","REGIME_ORARIO","Full-time/Part-time","TIME","Select time","Value","Flag Codes","Flags"
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q2","Q2-2023",1125.103,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q3","Q3-2023",1178.215,,
"ITCD","Nord","9","total","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q4","Q4-2023",1194.135,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2019","2019",252.872,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q1","Q1-2019",254.636,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q2","Q2-2019",257.833,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q4","Q4-2019",258.095,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q3","Q3-2019",240.923,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2020","2020",227.362,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q2","Q2-2020",222.291,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q1","Q1-2020",252.382,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q3","Q3-2020",215.9,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q4","Q4-2020",218.874,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2021","2021",229.002,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2022","2022",243.658,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2023","2023",244.396,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q1","Q1-2021",212.271,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q2","Q2-2021",214.513,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q3","Q3-2021",237.863,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q4","Q4-2021",251.361,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q1","Q1-2022",245.437,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q2","Q2-2022",244.606,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q3","Q3-2022",247.95,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q4","Q4-2022",236.638,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q1","Q1-2023",230.763,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q2","Q2-2023",248.436,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q3","Q3-2023",255.417,,
"ITCD","Nord","2","females","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q4","Q4-2023",242.967,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2019","2019",799.185,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q1","Q1-2019",779.483,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q2","Q2-2019",809.585,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q4","Q4-2019",799.836,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q3","Q3-2019",807.836,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2020","2020",767.472,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q2","Q2-2020",738.854,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q1","Q1-2020",780.47,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q3","Q3-2020",770.875,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q4","Q4-2020",779.689,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2021","2021",792.077,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2022","2022",839.869,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2023","2023",840.391,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2021-Q1","Q1-2021",736.658,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2021-Q2","Q2-2021",771.196,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2021-Q3","Q3-2021",806.077,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2021-Q4","Q4-2021",854.375,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2022-Q1","Q1-2022",824.416,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2022-Q2","Q2-2022",844.244,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2022-Q3","Q3-2022",850.487,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2022-Q4","Q4-2022",840.329,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2023-Q1","Q1-2023",810.359,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2023-Q2","Q2-2023",833.921,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2023-Q3","Q3-2023",859.859,,
"ITCD","Nord","1","males","Y15-89","15-89 years","FRG","foreign","9","total","2023-Q4","Q4-2023",857.425,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2019","2019",190.23,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2019-Q1","Q1-2019",189.141,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2019-Q2","Q2-2019",184.48,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2019-Q4","Q4-2019",189.894,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2019-Q3","Q3-2019",197.403,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2020","2020",169.213,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2020-Q2","Q2-2020",158.104,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2020-Q1","Q1-2020",174.405,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2020-Q3","Q3-2020",182.786,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2020-Q4","Q4-2020",161.556,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2021","2021",177.036,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2022","2022",191.226,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2023","2023",210.827,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2021-Q1","Q1-2021",156.475,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2021-Q2","Q2-2021",175.101,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2021-Q3","Q3-2021",190.944,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2021-Q4","Q4-2021",185.625,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2022-Q1","Q1-2022",168.471,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2022-Q2","Q2-2022",191.526,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2022-Q3","Q3-2022",193.204,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2022-Q4","Q4-2022",211.702,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q1","Q1-2023",205.11,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q2","Q2-2023",198.889,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q3","Q3-2023",209.687,,
"ITC","Nord-ovest","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q4","Q4-2023",229.621,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2019","2019",64.141,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q1","Q1-2019",63.361,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q2","Q2-2019",66.364,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q4","Q4-2019",63.801,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q3","Q3-2019",63.038,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2020","2020",58.079,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q2","Q2-2020",51.581,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q1","Q1-2020",56.858,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q3","Q3-2020",65.523,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2020-Q4","Q4-2020",58.352,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2021","2021",57.333,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2022","2022",53.253,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2023","2023",49.356,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q1","Q1-2021",51.779,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q2","Q2-2021",56.391,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q3","Q3-2021",66.802,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2021-Q4","Q4-2021",54.36,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q1","Q1-2022",44.247,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q2","Q2-2022",53.559,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q3","Q3-2022",60.316,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2022-Q4","Q4-2022",54.892,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q1","Q1-2023",51.871,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q2","Q2-2023",48.7,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q3","Q3-2023",49.755,,
"ITC","Nord-ovest","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2023-Q4","Q4-2023",47.097,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019","2019",808.431,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q1","Q1-2019",802.055,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q2","Q2-2019",807.446,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q4","Q4-2019",810.731,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2019-Q3","Q3-2019",813.49,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2020","2020",736.223,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q2","Q2-2020",702.545,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q1","Q1-2020",760.919,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q3","Q3-2020",743.894,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2020-Q4","Q4-2020",737.533,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2021","2021",766.108,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2022","2022",812.542,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2023","2023",842.614,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2021-Q1","Q1-2021",713.057,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2021-Q2","Q2-2021",738.982,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2021-Q3","Q3-2021",791.68,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2021-Q4","Q4-2021",820.714,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2022-Q1","Q1-2022",790.209,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2022-Q2","Q2-2022",810.095,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2022-Q3","Q3-2022",814.831,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2022-Q4","Q4-2022",835.035,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2023-Q1","Q1-2023",812.378,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2023-Q2","Q2-2023",829.311,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2023-Q3","Q3-2023",864.604,,
"ITC","Nord-ovest","9","total","Y15-89","15-89 years","FRG","foreign","9","total","2023-Q4","Q4-2023",864.165,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2019","2019",163.423,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2019-Q1","Q1-2019",165.982,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2019-Q2","Q2-2019",166.703,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2019-Q4","Q4-2019",152.799,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2019-Q3","Q3-2019",168.209,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2020","2020",145.581,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2020-Q2","Q2-2020",143.039,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2020-Q1","Q1-2020",141.077,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2020-Q3","Q3-2020",160.467,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2020-Q4","Q4-2020",137.739,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2021","2021",164.567,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2022","2022",177.067,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2023","2023",168.779,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2021-Q1","Q1-2021",146.551,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2021-Q2","Q2-2021",182.863,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2021-Q3","Q3-2021",163.665,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2021-Q4","Q4-2021",165.19,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2022-Q1","Q1-2022",167.555,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2022-Q2","Q2-2022",175.836,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2022-Q3","Q3-2022",186.095,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2022-Q4","Q4-2022",178.78,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q1","Q1-2023",163.481,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q2","Q2-2023",159.202,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q3","Q3-2023",176.361,,
"ITD","Nord-est","2","females","Y15-89","15-89 years","FRG","foreign","1","full-time","2023-Q4","Q4-2023",176.074,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2019","2019",30.6,,
"ITD","Nord-est","1","males","Y15-89","15-89 years","FRG","foreign","2","part-time","2019-Q1","Q1-2019",31.17,,
