STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,MIGRATION_TYPE,Entry category,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,WO,Work,PS,Persons,2021,,42989,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,WO,Work,PS,Persons,2022,,55802,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,WO,Work,PS,Persons,2023,,31833.98371,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,HU,Humanitarian,PS,Persons,2018,,11415,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,HU,Humanitarian,PS,Persons,2019,,747,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,HU,Humanitarian,PS,Persons,2020,,648,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,HU,Humanitarian,PS,Persons,2021,,3144,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,HU,Humanitarian,PS,Persons,2022,,5403,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,HU,Humanitarian,PS,Persons,2023,,4715.727981,,E,Estimated value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,FR,Free movements,PS,Persons,2018,,59966,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,FR,Free movements,PS,Persons,2019,,62716,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,FR,Free movements,PS,Persons,2020,,43168,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,FR,Free movements,PS,Persons,2021,,45026,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,FR,Free movements,PS,Persons,2022,,50003,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.IMD:DSD_MIG_INT@DF_MIG_INT_PER(1.0),Standardised inflows of permanent-type migrants,I,ITA,Italy,A,Annual,MIG_FLW,Migration flows by category,FR,Free movements,PS,Persons,2023,,43434.18697,,E,Estimated value,0,Units,0,Zero
