DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,MOSTREL_CCITENSHIP,ACQUISITION_PROCESS,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_MOSTREL_CCITENSHIP,NOTE_ACQUISITION_PROCESS,NOTE_AGE,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,1,WORLD,ALL,TOTAL,2021,1006,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,1,WORLD,ALL,TOTAL,2022,1814,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,1,WORLD,ALL,TOTAL,2023,1922,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,2,WORLD,ALL,TOTAL,2014,1092,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,2,WORLD,ALL,TOTAL,2015,1443,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,2,WORLD,ALL,TOTAL,2016,1871,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,2,WORLD,ALL,TOTAL,2017,1474,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,2,WORLD,ALL,TOTAL,2018,978,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,2,WORLD,ALL,TOTAL,2019,921,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,2,WORLD,ALL,TOTAL,2020,956,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,2,WORLD,ALL,TOTAL,2021,932,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,2,WORLD,ALL,TOTAL,2022,1614,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,2,WORLD,ALL,TOTAL,2023,1820,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,9,WORLD,ALL,TOTAL,2014,2350,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,9,WORLD,ALL,TOTAL,2015,3058,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,9,WORLD,ALL,TOTAL,2016,3894,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,9,WORLD,ALL,TOTAL,2017,2910,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,9,WORLD,ALL,TOTAL,2018,1812,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,9,WORLD,ALL,TOTAL,2019,1802,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,9,WORLD,ALL,TOTAL,2020,1821,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,9,WORLD,ALL,TOTAL,2021,1938,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,9,WORLD,ALL,TOTAL,2022,3428,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT108,ACQCITIZ,9,WORLD,ALL,TOTAL,2023,3742,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT109,ACQCITIZ,1,WORLD,ALL,TOTAL,2014,261,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT109,ACQCITIZ,1,WORLD,ALL,TOTAL,2015,424,,,,,,,,,,,
IT1:29_849_DF_DCIS_ACQCITIZ_4(1.0),A,IT109,ACQCITIZ,1,WORLD,ALL,TOTAL,2016,383,,,,,,,,,,,
