DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,MOSTREL_CCITENSHIP,TYPE_RES_PERMIT_REASON,TYPE_RES_PERMIT,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_MOSTREL_CCITENSHIP,NOTE_TYPE_RES_PERMIT_REASON,NOTE_TYPE_RES_PERMIT,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y_UN17,99,2024,179742,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y18-24,99,2015,81954,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y18-24,99,2016,81424,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y18-24,99,2017,77184,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y18-24,99,2018,73344,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y18-24,99,2019,78675,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y18-24,99,2020,70734,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y18-24,99,2021,63086,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y18-24,99,2022,70799,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_2(1.0),A,IT,RESPER,1,WORLD,ALL,LONGT,Y18-24,99,2023,68422,,,,,,,,,,,,,
