DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,MOSTREL_CCITENSHIP,TYPE_RES_PERMIT_REASON,TYPE_RES_PERMIT,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_MOSTREL_CCITENSHIP,NOTE_TYPE_RES_PERMIT_REASON,NOTE_TYPE_RES_PERMIT,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2024,1830769,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,LONGT,TOTAL,99,2015,1127212,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,LONGT,TOTAL,99,2016,1174728,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,LONGT,TOTAL,99,2017,1138817,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,LONGT,TOTAL,99,2018,1158017,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,LONGT,TOTAL,99,2019,1165806,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,LONGT,TOTAL,99,2020,1152646,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,LONGT,TOTAL,99,2021,1089054,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,LONGT,TOTAL,99,2022,1194147,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,LONGT,TOTAL,99,2023,1141209,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,LONGT,TOTAL,99,2024,1082093,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,NLONGT,TOTAL,99,2015,795216,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,NLONGT,TOTAL,99,2016,740958,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,NLONGT,TOTAL,99,2017,664072,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,NLONGT,TOTAL,99,2018,636265,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,NLONGT,TOTAL,99,2019,628481,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,NLONGT,TOTAL,99,2020,620850,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,NLONGT,TOTAL,99,2021,582564,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,NLONGT,TOTAL,99,2022,551038,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,NLONGT,TOTAL,99,2023,715510,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,NLONGT,TOTAL,99,2024,694298,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,TOTAL,TOTAL,99,2015,1922428,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,TOTAL,TOTAL,99,2016,1915686,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,TOTAL,TOTAL,99,2017,1802889,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,TOTAL,TOTAL,99,2018,1794282,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,TOTAL,TOTAL,99,2019,1794287,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,TOTAL,TOTAL,99,2020,1773496,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,TOTAL,TOTAL,99,2021,1671618,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,TOTAL,TOTAL,99,2022,1745185,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,TOTAL,TOTAL,99,2023,1856719,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,2,WORLD,ALL,TOTAL,TOTAL,99,2024,1776391,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,LONGT,TOTAL,99,2015,2248747,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,LONGT,TOTAL,99,2016,2338435,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,LONGT,TOTAL,99,2017,2255481,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,LONGT,TOTAL,99,2018,2293159,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,LONGT,TOTAL,99,2019,2314816,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,LONGT,TOTAL,99,2020,2282161,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,LONGT,TOTAL,99,2021,2173327,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,LONGT,TOTAL,99,2022,2341857,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,LONGT,TOTAL,99,2023,2240906,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,LONGT,TOTAL,99,2024,2138805,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,NLONGT,TOTAL,99,2015,1681169,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,NLONGT,TOTAL,99,2016,1592698,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,NLONGT,TOTAL,99,2017,1458656,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,NLONGT,TOTAL,99,2018,1421775,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,NLONGT,TOTAL,99,2019,1402590,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,NLONGT,TOTAL,99,2020,1333665,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,NLONGT,TOTAL,99,2021,1200549,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,NLONGT,TOTAL,99,2022,1219683,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,NLONGT,TOTAL,99,2023,1486800,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,NLONGT,TOTAL,99,2024,1468355,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,TOTAL,TOTAL,99,2015,3929916,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,TOTAL,TOTAL,99,2016,3931133,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,TOTAL,TOTAL,99,2017,3714137,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,TOTAL,TOTAL,99,2018,3714934,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,TOTAL,TOTAL,99,2019,3717406,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,TOTAL,TOTAL,99,2020,3615826,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,TOTAL,TOTAL,99,2021,3373876,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,TOTAL,TOTAL,99,2022,3561540,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,TOTAL,TOTAL,99,2023,3727706,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,IT,RESPER,9,WORLD,ALL,TOTAL,TOTAL,99,2024,3607160,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2015,430025,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2016,442279,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2017,419229,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2018,421739,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2019,413561,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2020,417094,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2021,397384,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2022,416568,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2023,398932,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,LONGT,TOTAL,99,2024,380995,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,NLONGT,TOTAL,99,2015,298274,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,NLONGT,TOTAL,99,2016,289372,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,NLONGT,TOTAL,99,2017,255639,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,NLONGT,TOTAL,99,2018,255369,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,NLONGT,TOTAL,99,2019,253518,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,NLONGT,TOTAL,99,2020,238954,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,NLONGT,TOTAL,99,2021,212012,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,NLONGT,TOTAL,99,2022,237544,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,NLONGT,TOTAL,99,2023,279525,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,NLONGT,TOTAL,99,2024,276765,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2015,728299,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2016,731651,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2017,674868,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2018,677108,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2019,667079,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_4(1.0),A,ITC,RESPER,1,WORLD,ALL,TOTAL,TOTAL,99,2020,656048,,,,,,,,,,,,,
