DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,CITIZENSHIP,TYPE_OF_COUPLE,HOUSEHOLD_TYPOLOGY,PRESENCE_IN_ITALY,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS,LANGUAGE,SATISFACTION_LIFE_WORK,DISCRIMINATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_TYPE_OF_COUPLE,NOTE_HOUSEHOLD_TYPOLOGY,NOTE_PRESENCE_IN_ITALY,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS,NOTE_LANGUAGE,NOTE_SATISFACTION_LIFE_WORK,NOTE_DISCRIMINATION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,67,ALL,ALL,ALL,ALL,2012,1397134,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,3639227,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,1,ALL,ALL,ALL,ALL,2012,16,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,11,ALL,ALL,ALL,ALL,2012,8.5,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,2,ALL,ALL,ALL,ALL,2012,9.9,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,29,ALL,ALL,ALL,ALL,2012,29.9,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,67,ALL,ALL,ALL,ALL,2012,35.7,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,100,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,1,ALL,ALL,ALL,ALL,2012,13,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,11,ALL,ALL,ALL,ALL,2012,13.5,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,2,ALL,ALL,ALL,ALL,2012,8.1,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,29,ALL,ALL,ALL,ALL,2012,24.6,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,67,ALL,ALL,ALL,ALL,2012,40.7,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,100,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,1,ALL,ALL,ALL,ALL,2012,14.4,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,11,ALL,ALL,ALL,ALL,2012,11.2,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,2,ALL,ALL,ALL,ALL,2012,9,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,29,ALL,ALL,ALL,ALL,2012,27.1,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,67,ALL,ALL,ALL,ALL,2012,38.4,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,IT,NFOR_6HIGH_PERCLE,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,100,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,1,ALL,ALL,ALL,ALL,2012,98204,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,11,ALL,ALL,ALL,ALL,2012,59387,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,2,ALL,ALL,ALL,ALL,2012,59033,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,29,ALL,ALL,ALL,ALL,2012,176744,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,67,ALL,ALL,ALL,ALL,2012,206567,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,599936,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,1,ALL,ALL,ALL,ALL,2012,94582,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,11,ALL,ALL,ALL,ALL,2012,90183,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,2,ALL,ALL,ALL,ALL,2012,59054,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,29,ALL,ALL,ALL,ALL,2012,166752,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,67,ALL,ALL,ALL,ALL,2012,262254,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,672825,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,1,ALL,ALL,ALL,ALL,2012,192787,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,11,ALL,ALL,ALL,ALL,2012,149570,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,2,ALL,ALL,ALL,ALL,2012,118087,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,29,ALL,ALL,ALL,ALL,2012,343496,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,67,ALL,ALL,ALL,ALL,2012,468821,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,1272761,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,1,ALL,ALL,ALL,ALL,2012,16.4,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,11,ALL,ALL,ALL,ALL,2012,9.9,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,2,ALL,ALL,ALL,ALL,2012,9.8,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,29,ALL,ALL,ALL,ALL,2012,29.5,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,67,ALL,ALL,ALL,ALL,2012,34.4,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,1,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,100,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,1,ALL,ALL,ALL,ALL,2012,14.1,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,11,ALL,ALL,ALL,ALL,2012,13.4,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,2,ALL,ALL,ALL,ALL,2012,8.8,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,29,ALL,ALL,ALL,ALL,2012,24.8,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,67,ALL,ALL,ALL,ALL,2012,39,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,2,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,100,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,1,ALL,ALL,ALL,ALL,2012,15.1,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,11,ALL,ALL,ALL,ALL,2012,11.8,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_4(1.0),A,ITC,NFOR_6HIGH_PERCLE,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,2,ALL,ALL,ALL,ALL,2012,9.3,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
